行号,SKU,建议产品本体,建议方向Skill原子,建议商品标准化类型,建议是否待复核,建议待复核原因,风险提示补充,修正理由
232,2600268,"性别揭示气球套装","派对庆典商品开发","非标","否","","","婴儿是派对主题对象，真实场景是性别揭示或迎婴派对"
234,2600271,"生日横幅","派对庆典商品开发","非标","否","","","英文祝福文案是主题内容，不是产品本体"
236,2600273,"橱柜抽屉拉手","功能维修配件开发","标品","否","","","拉手是安装替换五金，不是收纳器或防护品"
237,2600274,"汽车挂饰","家居装饰商品开发","非标","否","","","恶魔之眼是主题；汽车是悬挂场景而非汽车功能方向"
238,2600269,"生日派对装饰套装","派对庆典商品开发","非标","否","","","生日帽只是套装组件，不能抢占组合产品本体"
239,2550427,"EDC磁性旋转啪啪币","玩具娱乐商品开发","非标","否","","","数量不能写入产品本体"
240,2550428,"生日闪光横幅","派对庆典商品开发","非标","否","","","18岁和祝福文案属于主题字段"
242,2550430,"鲜花花束包装","派对庆典商品开发","非标","否","","","情人节属于季节和场景字段"
243,2550431,"礼物盒","派对庆典商品开发","非标","否","","","情人节主题与产品本体应分层"
244,2550432,"礼物盒","派对庆典商品开发","非标","否","","","与243行同物同名，情人节主题与本体分层"
245,2550433,"佩戴式花束夹","服饰饰品开发","非标","否","","","数量不能写入产品本体"
246,2550434,"手链","服饰饰品开发","非标","否","","","标题是成品手链，不是DIY材料；串珠只是结构词"
247,2550435,"手链","服饰饰品开发","非标","否","","女团周边疑似IP/品牌授权复核","本体和方向明确，但周边主题存在授权风险"
248,2550436,"手链","服饰饰品开发","非标","否","","沙加boy疑似角色/品牌词复核","疑似角色或品牌称谓应核验授权"
249,2550446,"收藏硬币","玩具娱乐商品开发","非标","否","","","数量、骷髅头和乌鸦主题不应占据本体"
250,2550447,"换装涂色贴纸本","DIY手工商品开发","非标","否","","","贴纸过于宽泛，标题已给出具体商品形态"
251,2550437,"生日派对装饰套装","派对庆典商品开发","非标","否","","","警示牌是套装主题造型，不是独立商品方向"
252,2550438,"生日气球","派对庆典商品开发","非标","否","","","数量和年龄主题不应进入产品本体"
253,2550439,"生日派对装饰套装","派对庆典商品开发","非标","否","","","拉旗和吊饰共同构成组合方案，不能用组件拼接代替组合本体"
255,2550441,"发饰套装","服饰饰品开发","非标","否","","","数量不能写入产品本体"
256,2550442,"床单固定器","家居收纳与防护商品开发","标品","否","","","数量不能写入产品本体"
257,2550443,"美甲钻套装","美妆装饰商品开发","非标","否","","","盒数和格数属于规格与组合字段"
258,2550444,"美甲水钻套装","美妆装饰商品开发","非标","否","","","节日、颜色和异形造型属于主题与规格字段"
259,2550445,"电钻转角磨机转换杆套装","通用工具开发","标品","否","","","该商品直接承担角磨作业转换功能，属于作业工具套件"
261,2255171,"待确认产品本体","待确认开发方向","待复核","是","标题只有图案、款式和张数，缺少商品名词","","不能靠相邻记录臆造为纹身贴、贴钻或普通贴纸"
262,2255172,"钥匙扣","服饰饰品开发","非标","否","","猎魔女团IP/授权复核","IP主题不改变钥匙扣方向，但必须单列授权风险"
263,2255173,"钥匙扣","服饰饰品开发","非标","否","","猎魔女团IP/授权复核","IP主题不改变钥匙扣方向，但必须单列授权风险"
264,2255174,"A6线圈笔记本","阅读文具与学习用品开发","非标","否","","猎魔女团IP/授权复核","IP、尺寸和款号应与产品本体分层"
265,2255175,"A6线圈笔记本","阅读文具与学习用品开发","非标","否","","猎魔女团IP/授权复核","同产品不同款式，应同物同名并单列IP风险"
266,2255176,"A6线圈笔记本","阅读文具与学习用品开发","非标","否","","猎魔女团IP/授权复核","同产品不同款式，应同物同名并单列IP风险"
267,2255177,"A6线圈笔记本","阅读文具与学习用品开发","非标","否","","猎魔女团IP/授权复核","同产品不同款式，应同物同名并单列IP风险"
268,2255178,"A6线圈笔记本","阅读文具与学习用品开发","非标","否","","猎魔女团IP/授权复核","同产品不同款式，应同物同名并单列IP风险"
269,2560404,"树脂装饰摆件","家居装饰商品开发","非标","否","","","数量、备注、夜光和小动物主题应与本体分层"
270,2560405,"网球拍记分器","户外运动商品开发","标品","否","","","数量不能写入产品本体"
271,2560406,"智力解扣套装","玩具娱乐商品开发","非标","否","","","件数属于组合字段"
272,2560407,"美甲磁铁套装","美妆个护功能商品开发","标品","否","","","数量不能写入产品本体"
273,2560408,"美甲猫眼磁铁工具套件","美妆个护功能商品开发","标品","否","","","数量不能写入产品本体"
274,2560409,"美甲猫眼磁铁套件","美妆个护功能商品开发","标品","否","","","数量不能写入产品本体"
276,2560411,"洗衣机排水管三通接头","功能维修配件开发","标品","否","","","接头过于宽泛，标题已给出适配对象和结构"
278,2560413,"红外线鼻部护理仪","健康护理与康复辅助开发","标品","否","","","便携和智能是卖点，鼻炎器功效化命名应规范为具体护理仪本体"
279,2560414,"亚克力生日蛋糕插牌","派对庆典商品开发","非标","否","","","数量和生日快乐文案不应进入产品本体"
280,2560415,"生日蛋糕装饰插牌","派对庆典商品开发","非标","否","","","数量和30岁年龄主题不应进入产品本体"
281,2560416,"汽车吊饰","家居装饰商品开发","非标","否","","","汽车是悬挂场景；数量和蝴蝶结主题与本体分离"
284,2560419,"钱包","包袋与出行收纳开发","非标","否","","猎魔女团IP/授权复核","强IP图案主导购买，不能因钱包收纳功能判为标品"
285,2560420,"钱包","包袋与出行收纳开发","非标","否","","猎魔女团IP/授权复核","与284行同产品不同款号，应采用一致判断"
286,2560421,"钱包","包袋与出行收纳开发","非标","否","","猎魔女团IP/授权复核","与284行同产品不同款号，应采用一致判断"
288,2600275,"银器抛光布","家居收纳与防护商品开发","标品","否","","","数量和尺寸属于规格字段"
289,2600276,"V脸加压绷带面罩","美妆个护功能商品开发","标品","否","","美容塑形功效复核","核心诉求是美容塑形护理，不是康复辅助；颜色与款式不是本体"
290,2600277,"玻璃瓶保护盖","家居收纳与防护商品开发","标品","否","","","数量和容量属于规格字段"
291,2600278,"纹身贴","美妆装饰商品开发","非标","否","","猎魔女团IP/授权复核","数量、IP主题和镭射工艺不应进入本体"
292,2600279,"单插座空白面板","功能维修配件开发","标品","否","","","数量不能写入产品本体"
294,2600281,"登山杖把手与螺母套装","户外运动商品开发","标品","否","","","配件过于宽泛，标题已明确真实组件"
295,2600282,"3D立体生日贺卡套装","派对庆典商品开发","非标","否","","","贺卡过宽，标题明确了立体结构和组合形态"
296,2600283,"3D立体生日贺卡","派对庆典商品开发","非标","否","","","GRANDSON是受赠人文案，不是产品本体"
297,2600284,"3D立体生日贺卡","派对庆典商品开发","非标","否","","","BROTHER是受赠人文案，应与296行同物同名"
298,2600285,"护士怀表","服饰功能配件开发","标品","否","","","数量不能写入产品本体"
299,2600286,"待确认产品本体","待确认开发方向","待复核","是","标题只有山海经主题和数量款式，缺少商品名词","","不能据主题臆造为公仔、摆件、卡片或贴纸"
300,2600287,"待确认产品本体","待确认开发方向","待复核","是","标题只有海洋动物主题和数量，缺少商品名词","","无法确认是模型、公仔、贴纸还是装饰件"
302,2600289,"笔记本","阅读文具与学习用品开发","非标","否","","","Magick Oils文案和款式7不是产品本体"
303,2600290,"汽车挂饰","家居装饰商品开发","非标","否","","","2D、复古、耶稣和款号属于主题规格，汽车是悬挂场景"
304,2600291,"汽车挂饰","家居装饰商品开发","非标","否","","","数量、主题和款号应与产品本体分层"
305,2600292,"待确认产品本体","待确认开发方向","待复核","是","口袋拥抱无法唯一映射到商品本体，高尔夫只是主题","","不能确认是卡片、纪念币、摆件或其他商品"
306,2600293,"待确认产品本体","待确认开发方向","待复核","是","与305行同方案，数量信息仍不能确认商品本体","","增加2pcs仍未补足商品名词，应与305行一起补图确认"
